Date,Volume,Close,Average,,,,,,,,,,
23/08/2018,"49,204,851", $285.79 ,284.403,,,,,,,,,,
24/08/2018,"55,420,120", $287.51 ,284.838,,,,,,,,,,
27/08/2018,"57,072,377", $289.78 ,285.606,,,,,,,,,,
28/08/2018,"46,943,472", $289.92 ,286.208,,,,,,,,,,
29/08/2018,"61,485,514", $291.48 ,287.178,,,,,,,,,,
30/08/2018,"61,229,501", $290.30 ,287.802,,,,,,,,,,
31/08/2018,"66,140,838", $290.31 ,288.327,,,,,,,,,,
04/09/2018,"57,594,367", $289.81 ,288.741,,,,,,,,,,
05/09/2018,"72,452,437", $289.03 ,289.01,,,,,,,,,,
06/09/2018,"65,909,863", $288.16 ,289.209,,,,,,,,,,
07/09/2018,"73,524,824", $287.60 ,289.39,,,,,,,,,,
10/09/2018,"50,210,903", $288.10 ,289.449,,,,,,,,,,
11/09/2018,"50,530,492", $289.05 ,289.376,,,,,,,,,,
12/09/2018,"59,810,758", $289.12 ,289.296,,,,,,,,,,
13/09/2018,"51,034,222", $290.83 ,289.231,,,,,,,,,,
14/09/2018,"55,079,875", $290.88 ,289.289,,,,,,,,,,
17/09/2018,"68,244,043", $289.34 ,289.192,,,,,,,,,,
18/09/2018,"61,930,407", $290.91 ,289.302,,,,,,,,,,
19/09/2018,"49,080,562", $291.22 ,289.521,,,,,,,,,,
20/09/2018,"100,360,646", $293.58 ,290.063,,,,,,,,,,
21/09/2018,"105,479,656", $291.99 ,290.502,,,,,,,,,,
24/09/2018,"53,409,645", $291.02 ,290.794,,,,,,,,,,
25/09/2018,"44,370,037", $290.75 ,290.964,,,,,,,,,,
26/09/2018,"79,739,674", $289.88 ,291.04,,,,,,,,,,
